epoch,loss,val_loss
1, 3.917, 3.941
2, 3.873, 3.985
3, 3.836, 4.033
4, 3.790, 4.090
5, 3.735, 4.153
6, 3.671, 4.227
7, 3.589, 4.312
8, 3.495, 4.404
9, 3.388, 4.505
10, 3.277, 4.617
11, 3.156, 4.730
12, 3.033, 4.836
13, 2.915, 4.957
14, 2.805, 5.066
15, 2.696, 5.175
16, 2.600, 5.270
17, 2.512, 5.377
18, 2.428, 5.479
19, 2.349, 5.563
20, 2.276, 5.644
21, 2.209, 5.738
22, 2.144, 5.823
23, 2.086, 5.905
24, 2.030, 5.985
25, 1.975, 6.066
26, 1.922, 6.138
27, 1.869, 6.218
28, 1.821, 6.295
29, 1.772, 6.381
30, 1.722, 6.451
31, 1.675, 6.516
32, 1.627, 6.580
33, 1.580, 6.660
34, 1.537, 6.747
35, 1.493, 6.832
36, 1.446, 6.907
37, 1.407, 6.986
38, 1.366, 7.051
39, 1.326, 7.109
40, 1.287, 7.158
41, 1.250, 7.215
42, 1.211, 7.266
43, 1.175, 7.332
44, 1.140, 7.401
45, 1.110, 7.461
46, 1.072, 7.528
47, 1.038, 7.579
48, 1.013, 7.641
49, 0.981, 7.696
50, 0.950, 7.755
51, 0.919, 7.824
52, 0.890, 7.885
53, 0.867, 7.939
54, 0.836, 7.995
55, 0.811, 8.044
56, 0.792, 8.083
57, 0.769, 8.136
58, 0.742, 8.190
59, 0.720, 8.245
60, 0.696, 8.299
61, 0.677, 8.350
62, 0.656, 8.403
63, 0.635, 8.450
64, 0.617, 8.495
65, 0.598, 8.534
66, 0.582, 8.589
67, 0.563, 8.630
68, 0.545, 8.670
69, 0.530, 8.720
70, 0.515, 8.765
71, 0.498, 8.815
72, 0.485, 8.847
73, 0.471, 8.901
74, 0.455, 8.950
75, 0.443, 8.990
76, 0.430, 9.027
77, 0.416, 9.067
78, 0.406, 9.114
79, 0.393, 9.159
80, 0.382, 9.206
81, 0.372, 9.255
82, 0.361, 9.297
83, 0.355, 9.337
84, 0.342, 9.375
85, 0.335, 9.402
86, 0.326, 9.441
87, 0.317, 9.475
88, 0.310, 9.512
89, 0.302, 9.553
90, 0.292, 9.589
91, 0.286, 9.623
92, 0.277, 9.659
93, 0.269, 9.694
94, 0.263, 9.735
95, 0.257, 9.776
96, 0.250, 9.809
97, 0.245, 9.839
98, 0.239, 9.871
99, 0.234, 9.911
100, 0.226, 9.950
