epoch,loss,val_loss
1, 0.490, 0.352
2, 0.266, 0.445
3, 0.199, 0.649
4, 0.176, 0.823
5, 0.164, 1.055
6, 0.158, 1.299
7, 0.155, 1.520
8, 0.154, 1.660
9, 0.149, 1.925
10, 0.147, 2.147
11, 0.145, 2.418
12, 0.144, 2.653
13, 0.143, 2.827
14, 0.143, 3.088
15, 0.142, 3.282
16, 0.141, 3.536
17, 0.138, 3.827
18, 0.138, 4.036
19, 0.137, 4.249
20, 0.136, 4.536
21, 0.136, 4.800
22, 0.135, 5.038
23, 0.136, 5.174
24, 0.135, 5.379
25, 0.134, 5.764
26, 0.133, 5.923
27, 0.132, 6.044
28, 0.133, 6.356
29, 0.132, 6.471
30, 0.132, 6.935
31, 0.131, 7.043
32, 0.131, 7.239
33, 0.131, 7.555
34, 0.130, 7.733
35, 0.129, 8.042
36, 0.130, 8.338
37, 0.128, 8.474
38, 0.127, 8.938
39, 0.128, 8.898
40, 0.128, 9.115
41, 0.128, 9.610
42, 0.128, 9.602
43, 0.127, 9.865
44, 0.126, 10.167
45, 0.125, 10.290
46, 0.127, 10.373
47, 0.125, 10.992
48, 0.126, 10.924
49, 0.127, 11.091
50, 0.126, 11.138
51, 0.125, 11.521
52, 0.126, 11.961
53, 0.125, 12.169
54, 0.124, 12.268
55, 0.125, 12.341
56, 0.124, 12.799
57, 0.123, 13.111
58, 0.123, 13.475
59, 0.125, 13.543
60, 0.122, 14.395
61, 0.123, 14.060
62, 0.123, 14.229
63, 0.123, 14.591
64, 0.122, 15.155
65, 0.121, 14.739
66, 0.123, 15.402
67, 0.123, 15.265
68, 0.123, 15.923
69, 0.123, 16.274
70, 0.124, 15.982
71, 0.121, 16.205
72, 0.122, 16.118
73, 0.121, 17.309
74, 0.122, 16.994
75, 0.122, 16.947
76, 0.121, 17.339
77, 0.121, 18.218
78, 0.121, 18.085
79, 0.121, 17.733
80, 0.121, 18.082
81, 0.122, 18.574
82, 0.120, 18.823
83, 0.121, 18.455
84, 0.120, 19.220
85, 0.121, 19.581
86, 0.120, 20.084
87, 0.119, 20.009
88, 0.119, 20.397
89, 0.121, 20.243
90, 0.120, 20.515
91, 0.119, 21.053
92, 0.120, 21.395
93, 0.120, 20.935
94, 0.119, 21.489
95, 0.119, 20.900
96, 0.120, 22.286
97, 0.119, 22.472
98, 0.119, 22.649
99, 0.119, 22.939
100, 0.118, 22.515
101, 0.119, 23.235
102, 0.118, 23.813
103, 0.118, 24.236
104, 0.118, 24.008
105, 0.118, 23.801
106, 0.119, 24.608
107, 0.118, 24.326
108, 0.118, 25.102
109, 0.118, 25.258
110, 0.117, 26.307
111, 0.118, 26.492
112, 0.118, 25.752
113, 0.118, 26.175
114, 0.118, 26.115
115, 0.117, 27.769
116, 0.118, 26.805
117, 0.118, 27.519
118, 0.118, 28.478
119, 0.116, 27.224
120, 0.117, 28.544
121, 0.116, 28.550
122, 0.118, 29.116
123, 0.118, 28.592
124, 0.117, 29.818
125, 0.116, 29.229
126, 0.118, 30.434
127, 0.119, 31.002
128, 0.118, 30.157
129, 0.117, 30.848
130, 0.118, 31.703
131, 0.117, 30.649
132, 0.117, 31.409
133, 0.117, 31.105
134, 0.117, 31.692
135, 0.115, 32.746
136, 0.117, 32.468
137, 0.117, 30.928
138, 0.116, 34.980
139, 0.116, 32.820
140, 0.117, 33.394
141, 0.116, 33.607
142, 0.116, 33.952
143, 0.116, 34.579
144, 0.116, 34.038
145, 0.116, 34.022
146, 0.115, 34.840
147, 0.115, 34.820
148, 0.116, 35.130
149, 0.115, 35.280
150, 0.116, 35.654
